Database,Table_Name,Data_Item_Name,Data_Item_Description,Data_Type,Code_(TBC),Code_Description_(TBC),Is_Derived_Item,Derivation_Methodology,Author,Created_Date,Data Dictionary Name,Data Dictionary Links
NHSE_SEM_Live,tbl_Data_SEM_APCS,Age_At_CDS_Activity_Date,is derived as the number of completed years between the PERSON BIRTH DATE of the PATIENT and the CDS ACTIVITY DATE. It's used by the Secondary Uses Service to derive the Healthcare Resource Group 4.,bigint,,,Not derrived by TNR,,SUS R13,,AGE AT CDS ACTIVITY DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/age_at_cds_activity_date_de.asp?shownav=1?query=%22AGE+AT+CDS+ACTIVITY+DATE%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Age_At_Start_of_Spell_SUS,The age at beginning of a spell,int,,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Age_At_End_of_Spell_SUS,The age at the end of a spell,int,,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Carer_Support_Indicator,An indication of whether Carer support is available to the PATIENT at their normal residence.,varchar(2),,,Not derrived by TNR,,SUS R13,,CARER SUPPORT INDICATOR,http://www.datadictionary.nhs.uk/data_dictionary/attributes/c/card/carer_support_indicator_de.asp?shownav=1?query=%22CARER+SUPPORT+INDICATOR%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Legal_Status_Classification,"Legal Status Classification on Admission (Psychiatric Census Only) and the code which identifies the MENTAL HEALTH ACT LEGAL STATUS CLASSIFICATION. 
",varchar(2),,,Not derrived by TNR,,SUS R13,,MENTAL HEALTH ACT LEGAL STATUS CLASSIFICATION,http://www.datadictionary.nhs.uk/data_dictionary/classes/m/mental_health_act_legal_status_classification_de.asp?shownav=1?query=%22legal%22&rank=57.14286&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Ethnic_Group,"

The ethnicity of a PERSON, as specified by the PERSON.
",varchar(2),,,Not derrived by TNR,,SUS R13,,ETHNIC CATEGORY ,http://www.datadictionary.nhs.uk/data_dictionary/classes/e/ethnic_category_de.asp?shownav=1?query=%22ETHNIC+CATEGORY%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Marital_Status,An indicator to identify the legal marital status of a PERSON.,varchar(1),,,Not derrived by TNR,,SUS R13,,PERSON MARITAL STATUS,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_marital_status_de.asp?shownav=1?query=%22marital%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,NHS_Number_Trace_Status,"NHS NUMBER STATUS INDICATOR CODE - It tells status of NHS number as to whether it's traced, verified

",varchar(2),,,Not derrived by TNR,,SUS R13,,NHS NUMBER STATUS INDICATOR CODE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nhs/nhs_number_status_indicator_code_de.asp?shownav=1?query=%22NHS+NUMBER+STATUS+INDICATOR+CODE%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Sex,Sex,varchar(1),,,Not derrived by TNR,,SUS R13,,PERSON GENDER CODE CURRENT,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_gender_code_current_de.asp?shownav=0
NHSE_SEM_Live,tbl_Data_SEM_APCS,PCT_of_Residence,ORGANISATION CODE (RESPONSIBLE PCT) is the ORGANISATION CODE of the Responsible Primary Care Trust.,varchar(6),,,Not derrived by TNR,,SUS R13,,ORGANISATION CODE (RESPONSIBLE PCT),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(responsible_pct)_de.asp?shownav=1?query=%22ORGANISATION+CODE+%28RESPONSIBLE+PCT%29%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Org_Code_Type_PCT_of_Residence,,varchar(3),,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Hospital_Spell_No,A HOSPITAL PROVIDER SPELL NUMBER is a unique identifier for each Hospital Provider Spell for a Health Care Provider.  HOSPITAL PROVIDER SPELL NUMBER is used by the Secondary Uses Service to derive the Healthcare Resource Group 4.,varchar(23),,,Not derrived by TNR,,SUS R13,,HOSPITAL PROVIDER SPELL NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hor/hospital_provider_spell_number_de.asp?shownav=1?query=%22hospital%22&rank=5.208333&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Administrative_Category,"This is recorded for PATIENT ACTIVITY.

A PATIENT who is an Overseas Visitor does not qualify for free NHS healthcare and can choose to pay for NHS treatment or for private treatment. If they pay for NHS treatment then they should be recorded as NHS PATIENTS.

The PATIENT's ADMINISTRATIVE CATEGORY CODE may change during an episode or spell. For example, the PATIENT may opt to change from NHS to private health care. In this case, the start and end dates for each new ADMINISTRATIVE CATEGORY PERIOD (episode or spell) should be recorded.
",varchar(2),,,Not derrived by TNR,,SUS R13,,ADMINISTRATIVE CATEGORY  CODE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/add/administrative_category_code_de.asp?shownav=1?query=%22ADMINISTRATIVE+CATEGORY++CODE%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Patient_Classification,"A coded classification of PATIENTS who have been admitted to a Hospital Provider Spell.  The codes are :                                                                                           1 Ordinary admission
2 Day case admission
3 Regular day admission
4 Regular night admission
5 Mother and baby using delivery facilities only 
",varchar(2),,,Not derrived by TNR,,SUS R13,,PATIENT CLASSIFICATION,http://www.datadictionary.nhs.uk/data_dictionary/attributes/p/pati/patient_classification_de.asp?shownav=1?query=%22Patient+Classification%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Admission_Method,"The method of admission to a Hospital Provider Spell. It can be emergency, maternity,elective (when the decision to admit could be separated in time from the actual admission) or any other type of admission",varchar(2),,,Not derrived by TNR,,SUS R13,,ADMISSION METHOD,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/add/admission_method_de.asp?shownav=1?query=%22Admission+Method%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Discharge_Destination,"The destination of a PATIENT on completion of a Hospital Provider Spell, or a note that the PATIENT died or was a still birth.",varchar(2),,,Not derrived by TNR,,SUS R13,,DISCHARGE DESTINATION,http://www.datadictionary.nhs.uk/data_dictionary/attributes/d/disc/discharge_destination_de.asp?shownav=1?query=%22Discharge+Destination%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Discharge_Method,"The method of discharge from a Hospital Provider Spell.   The codes are:                                                                                                                  1 PATIENT discharged on clinical advice or with clinical consent 
2 PATIENT discharged him/herself or was discharged by a relative or advocate 
3 PATIENT discharged by mental health review tribunal, Home Secretary or Court 
4 PATIENT died 
5 Stillbirth 
",varchar(2),,,Not derrived by TNR,,SUS R13,,DISCHARGE METHOD,http://www.datadictionary.nhs.uk/data_dictionary/attributes/d/disc/discharge_method_de.asp?shownav=1?query=%22Discharge+Method%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Source_of_Admission,The source of admission to a Hospital Provider Spell or a Nursing Episode when the PATIENT is in a Hospital Site or a Care Home.,varchar(2),,,Not derrived by TNR,,SUS R13,,SOURCE OF ADMISSION,http://www.datadictionary.nhs.uk/data_dictionary/attributes/s/smo/source_of_admission_de.asp?shownav=1?query=%22Source+of+Admission%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Admission_Date,The Start Date of the Hospital Provider Spell is the date of admission: the CONSULTANT or MIDWIFE has assumed responsibility for care following the DECISION TO ADMIT the PATIENT.,datetime,,,Not derrived by TNR,,SUS R13,,START DATE (HOSPITAL PROVIDER SPELL),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/star/start_date_(hospital_provider_spell)_de.asp?shownav=1?query=%22date+of+admission%22&rank=10.41667&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Discharge_Date,DISCHARGE DATE (HOSPITAL PROVIDER SPELL),datetime,,,Not derrived by TNR,,SUS R13,,DISCHARGE DATES (HOSPITAL PROVIDER SPELL),
NHSE_SEM_Live,tbl_Data_SEM_APCS,Commissioning_Serial_Number,A number used to uniquely identify a NHS SERVICE AGREEMENT by an Organisation acting as commissioner of patient care services.,varchar(6),,,Not derrived by TNR,,SUS R13,,COMMISSIONING SERIAL NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/n/nhs/nhs_service_agreement_number_de.asp?shownav=1?query=%22agreement%22&rank=6.25&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Agreement_Line_Number,A number (alphanumeric) to provide a unique identifier for a line within a NHS SERVICE AGREEMENT.,varchar(13),,,Not derrived by TNR,,SUS R13,,NHS SERVICE AGREEMENT LINE NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/n/nhs/nhs_service_agreement_line_number_de.asp?shownav=1?query=%22agreement%22&rank=6.25&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Provider_Reference_Number,It's a number convention agreed locally between a provider and Commissioner for use within a Commissioning Data Set message. ,varchar(20),,,Not derrived by TNR,,SUS R13,,PROVIDER REFERENCE NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/prod/provider_reference_number_de.asp?shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Commissioner_Reference_Number,A number (alphanumeric) allocated by the commissioner to a REFERRAL REQUEST.,varchar(20),,,Not derrived by TNR,,SUS R13,,COMMISSIONER REFERENCE NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/c/com/commissioner_reference_number_de.asp?shownav=1?query=%22COMMISSIONER%22&rank=29.16667&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Provider_Code,"ORGANISATION CODE (CODE OF PROVIDER) is the ORGANISATION CODE of the Organisation acting as a Health Care Provider.

For Commissioning Data Sets, the ORGANISATION CODE (CODE OF PROVIDER) should always be the ORGANISATION CODE of the Health Care Provider receiving the National Tariff Payment System income.
",varchar(6),,,Not derrived by TNR,,SUS R13,,ORGANISATION CODE (CODE OF PROVIDER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_provider)_de.asp?shownav=1?query=%22ORGANISATION+CODE+%28CODE+OF+PROVIDER%29%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Provider_Org_Code_Type,The Organisation code type of Provider,varchar(5),,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Commissioner_Code,"It's the ORGANISATION CODE of the Organisation commissioning health care.

For Commissioning Data Sets, the ORGANISATION CODE (CODE OF COMMISSIONER) should always be the ORGANISATION CODE of the original commissioner to support the National Tariff Payment System.
",varchar(6),,,Not derrived by TNR,,SUS R13,,ORGANISATION CODE (CODE OF COMMISSIONER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_commissioner)_de.asp?shownav=1?query=%22ORGANISATION+CODE+%28CODE+OF+COMMISSIONER%29%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Commissioner_Org_Code_Type,The Organisation code type of commissioner,varchar(5),,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,GP_Code,It's the ORGANISATION CODE of the GP Practice that the PATIENT is registered with.,varchar(8),,,Not derrived by TNR,,SUS R13,,GENERAL MEDICAL PRACTICE CODE (PATIENT REGISTRATION),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/g/general_medical_practice_code_(patient_registration)_de.asp?shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,GP_Practice_Code,"It's the ORGANISATION CODE of the Organisation responsible for the GP Practice where the PATIENT is registered, irrespective of whether they reside within the boundary of the Clinical Commissioning Group.",varchar(6),,,Not derrived by TNR,,SUS R13,,ORGANISATION CODE (GP PRACTICE RESPONSIBILITY),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(gp_practice_responsibility)_de.asp?shownav=1?query=%22ORGANISATION+CODE+%28GP+PRACTICE+RESPONSIBILITY%29%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Org_Code_Type_GP,"It's the ORGANISATION CODE type of the Organisation responsible for the GP Practice where the PATIENT is registered, irrespective of whether they reside within the boundary of the Clinical Commissioning Group.",varchar(8),,,Not derrived by TNR,,SUS R13,,ORGANISATION CODE TYPE (GP PRACTICE RESPONSIBILITY),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(gp_practice_responsibility)_de.asp?shownav=1?query=%22ORGANISATION+CODE+%28GP+PRACTICE+RESPONSIBILITY%29%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Referrer_Code,"It's the code of the PERSON making the REFERRAL REQUEST. This will normally be a CARE PROFESSIONAL, GENERAL MEDICAL PRACTITIONER or CONSULTANT.",varchar(8),,,Not derrived by TNR,,SUS R13,,REFERRER CODE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/r/ref/referrer_code_de.asp?shownav=1?query=%22Referrer+Code%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Referring_Org_Code,"it's the ORGANISATION CODE of the Organisation from which the referral is made, such as a GP Practice, NHS Trust or NHS Foundation Trust. This information is essential for managing service agreements which are based on patterns of referral.",varchar(6),,,Not derrived by TNR,,SUS R13,,REFERRING ORGANISATION CODE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/r/ref/referring_organisation_code_de.asp?shownav=1?query=%22Referring%22&rank=48.39965&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Referring_Org_Code_Type,It is the Organisation code type of the referring organisation,varchar(3),,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Duration_of_Elective_Wait, It's a derived item that records the waiting time from the ORIGINAL DECIDED TO ADMIT DATE to the admission date at the provider where the treatment actually takes place.,varchar(6),,,Not derrived by TNR,,SUS R13,,DURATION OF ELECTIVE WAIT,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/dr/duration_of_elective_wait_de.asp?shownav=1?query=%22Duration+of+Elective+Wait%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Intended_Management,"This is the intended pattern of Hospital Bed use for a PATIENT, decided when the decision is made to admit. This only applies to PATIENTS on the ELECTIVE ADMISSION LIST. It is not necessary to collect this information for maternity PATIENTS or for babies admitted to hospital shortly after birth.",varchar(1),,,Not derrived by TNR,,SUS R13,,INTENDED MANAGEMENT,http://www.datadictionary.nhs.uk/data_dictionary/attributes/i/int/intended_management_de.asp?shownav=1?query=%22Intended+Management%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Decided_To_Admit_Date,The date a DECISION TO ADMIT was made.,datetime,,,Not derrived by TNR,,SUS R13,,DECIDED TO ADMIT DATE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/d/dec/decided_to_admit_date_de.asp?shownav=1?query=%22Decided%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Spell_Core_HRG_SUS,SUS Spell CORE HRG Version No,varchar(5),,,Not derrived by TNR,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Spell_HRG_Version_No_SUS,???,varchar(3),,,,,,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Discharge_Ready_Date,DISCHARGE READY DATE (HOSPITAL PROVIDER SPELL) is the same as attribute ACTIVITY DATE where the ACTIVITY DATE TYPE is National Code 'Discharge Ready Date' of the Hospital Provider Spell. ,datetime,,,Not derrived by TNR,,SUS R13,,DISCHARGE READY DATE (HOSPITAL PROVIDER SPELL) ,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/discharge_ready_date_(hospital_provider_spell)_de.asp?shownav=1?query=%22DISCHARGE+READY+DATE+%28HOSPITAL+PROVIDER+SPELL%29%22&rank=100&shownav=1
NHSE_SEM_Live,tbl_Data_SEM_APCS,Area_Code_SUS,The area code of the patient derived from their postcode.,varchar(4),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,PCT_Derived_from_GP_SUS,The derived Primary Care Trust derived from the given GP practice.,varchar(5),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,PCT_Type_Derived_from_GP_SUS,"Defines the coding schema used for derived primary care trust: A or O = Pre-1996 NHS Organisation Code, B or N = Post-1996 NHS Organisation Code.",varchar(3),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,GP_Practice_SUS,This is the derived GP practice necessary for the addressing grid.,varchar(6),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,PCT_Derived_from_SUS_GP_Practice,This is the derived Primary Care Trust derived from the derived GP practice necessary for the addressing grid.,varchar(5),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,SHA_from_GP_Practice_SUS,The derived Strategic Health Authority derived from the given GP practice.,varchar(3),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,SHA_Type_from_GP_Practice_SUS,"Defines the coding schema used for strategic health authority: P = PDS, S = SUS",varchar(3),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Hospital_Spell_Duration,The hospital spell duration,varchar(5),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Month_of_Birth_SUS,This is the month of birth of the patient as derived from the date of birth.,varchar(2),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Electoral_Ward_from_Postcode_SUS,"The patients electoral ward, derived from the patients postcode.",varchar(6),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,PCT_from_Postcode_SUS,The Primary Care Trust of the patient derived from the patients postcode.,varchar(5),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,PCT_Type_from_Postcode_SUS,"Defines the coding schema used for Primary Care Trust organisation which has been derived from the patients postcode:   A or O = Pre-1996 NHS Organisation Code, B or N = Post-1996 NHS Organisation Code.",varchar(5),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,SHA_from_Postcode_SUS,The Strategic Health Authority of the patient derived from the patients postcode.,varchar(3),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,SHA_Type_from_Postcode_SUS,"Defines the coding schema used for Strategic Health Authority organisation which has been derived from the patients postcode: A or O = Pre-1996 NHS Organisation Code, B or N = Post-1996 NHS Organisation Code.",varchar(3),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Area_code_from_Provider_Postcode_SUS,This is the area code derived from the providers postcode,varchar(4),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Census_Area_2001_SUS,"The 2001 census output area, built from unit postcodes and constrained to the 2003 statistical wards, which will form the building bricks for defining higher level geographies in the future. A pseudo code is included for Channel Islands and Isle of Man",varchar(10),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Country,The code for the appropriate country (i.e. one of the four constituent countries of the united kingdom or the Channel Islands or the Isle of Man) to which each postcode is assigned.,varchar(50),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,County_Code,"County codes within the UK, Northern Ireland, Scotland, Wales, and the Channel Islands.",varchar(2),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Census_ED_1991,The code for the 1991 census ED in which all addresses in a postcode are contained (or the single best-fit ED based on the largest number of 1991 census households in the postcode split parts) or a single ED identifier for postcodes introduced since the 1,varchar(4),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,ED_District_Code,Same as ED_COUNTY_CODE except a census code is provided.,varchar(4),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Electoral_Ward_Code,"Collectively known as the ward code. The administrative and electoral areas to which the 1 metre postcode grid reference has been assigned using point-in-polygon techniques and boundary-line, digital administrative and electoral boundaries. Pseudo codes",varchar(4),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,GOR_Code,"The government office for the region code for each postcode. Pseudocodes are included for Wales, Scotland, Northern Ireland, Channel Island and Isle of Man. The field will be blank for postcodes with no grid reference.",varchar(1),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Local_Unitary_Authority,????,varchar(2),,,,,,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Old_SHA_Code,"·         The old-style. Health authority existing prior to the reorganisation of health areas (England in 2002, Wales in 2003).",varchar(3),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Electoral_Area_1998,"·         The 1998 administrative and electoral areas for each postcode, assigned using pointin-polygon techniques and digital administrative and electoral boundaries. A pseudo code is included for channel islands and Isle of Man. The field will be blank for postcodes with no grid reference.",varchar(4),,,No,,SUS R13,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Provider_Code,"Derived provider code, formatted to 3 digits for acute providers. If a provider submits provider codes such as RJE00, RJE01, RJE02 etc. in the Provider_Code field,  this field will store the value as RJE.",varchar(5),,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Provider_Site_Code,Derived provider site code,varchar(5),,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Commissioner_Code,"Derived commissioner code having passed through data cleansing routines, based on the provider supplied commissioner code",varchar(5),,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Commissioner_Count,,int,,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Age_at_CDS_Activity_Date,Derived age using the Date of Birth and Episode_End_Date fields,int,,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Activity_Month,"The month, derived using the Episode_End_Date field. Values are stored with the year, followed by the month, e.g. 201404 relates to episodes in April 2014",varchar(6),,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Financial_Year,"Financial year of activity, e.g. 2013/14, 2014/15 etc.",varchar(7),,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Management_Type,Derived management type using the Patient_Classification and Admission_Method and Spell_LOS fields,varchar(3),,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Spell_LoS,??,int,,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Episode_Count,??,int,,,Yes,derived by TNR load ,GEM CSU,,,
NHSE_SEM_Live,tbl_Data_SEM_APCS,Der_Diagnosis_Count,A count of the number of diagnosis codes populated for the episode,int,,,Yes,derived by TNR load ,GEM CSU,,,
