Data_Item_Name,Data_Item_Description,Code,Data_Type,Code_Description,Created_Date 
AEA_Patient_Group,,30,an2,Deliberate self-harm,
AEA_Patient_Group,,40,an2,Sports injury,
AEA_Patient_Group,,50,an2,Firework injury,
AEA_Patient_Group,,60,an2,Other accident,
AEA_Patient_Group,,70,an2,Brought in dead,
AEA_Patient_Group,,80,an2,Other than above,
AEA_Referral_Source,,0,an2,GENERAL MEDICAL PRACTITIONER ,
AEA_Referral_Source,,1,an2,Self referral,
AEA_Referral_Source,,2,an2,Local Authority Social Services,
AEA_Referral_Source,,3,an2,Emergency services,
AEA_Referral_Source,,4,an2,Work,
AEA_Referral_Source,,5,an2,Educational Establishment ,
AEA_Referral_Source,,6,an2,Police,
AEA_Referral_Source,,7,an2,Health Care Provider: same or other,
AEA_Referral_Source,,8,an2,Other,
AEA_Referral_Source,,92,an2,GENERAL DENTAL PRACTITIONER ,
AEA_Referral_Source,,93,an2,Community Dental Service,
Arrival_Date,,,an10 CCYY-MM-DD,,
Age_at_CDS_Activity_Date,,,n3,,
AEA_Department_Type,,1,an2,Emergency departments are a CONSULTANT led 24 hour service with full resuscitation facilities and designated accommodation for the reception of accident and emergency PATIENTS ,
AEA_Department_Type,,2,an2,"Consultant led mono specialty accident and emergency service (e.g. ophthalmology, dental) with designated accommodation for the reception of PATIENTS ",
AEA_Department_Type,,3,an2,Other type of A&E/minor injury ACTIVITY with designated accommodation for the reception of accident and emergency PATIENTS. The department may be doctor led or NURSE led and treats at least minor injuries and illnesses and can be routinely accessed without APPOINTMENT. A SERVICE mainly or entirely APPOINTMENT based (for example a GP Practice or Out-Patient Clinic) is excluded even though it may treat a number of PATIENTS with minor illness or injury. Excludes NHS walk-in centres,
AEA_Department_Type,,4,an2,NHS walk in centres,
Month_of_Birth,,,an6 CCYY-MM,,
Year_of_Birth,,,an4 CCYY,,
Der_Provider_Code,,,varchar(3),,
Der_Provider_Site_Code,,,varchar(5),,
Der_Commissioner_Code,,,varchar(3),,
Der_Age_At_CDS_Activity_Date,,,int,,
Der_Activity_Month,,,varchar(6) YYYYMM,,
Der_Financial_Year,,,varchar(7) YYYY/YY,,
Der_Pseudo_NHS_Number,,,bigint,,
